"SYMBOL 
","SERIES 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE 
 (₹ Crores)"," 
","CREDIT RATING 
","MATURITY DATE 
"
"769HUDCO31","N9","Regular","-","-","1,133.00","-0.53","1,041","0.12",,,"15-Mar-2031"
"764HUDCO31","N8","Regular","-","-","1,125.00","0.22","1,040","0.12",,,"08-Feb-2031"
"94SFL28","YL","Regular","9.40","1,000.00","1,036.00","-","1,000","0.10",,"CRISIL AA+ STABLE /  IND AA+ STABLE","12-Jul-2028"
"750IRFC35","NK","Regular","7.50","1,000.00","1,215.00","-","831","0.10",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2035"
"843IHFL29","NC","Regular","8.43","1,000.00","952.20","0.23","1,041","0.10",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"930APMD28","N0",,"-","-","1,00,400.00","-0.10","9","0.09",,,"-"
"753IRFC30","NJ","Regular","7.53","1,000.00","1,136.00","-0.26","790","0.09",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2030"
"892PFCL33","N8","Regular","-","-","1,270.50","-0.19","702","0.09",,,"16-Nov-2033"
"10IIFL29","N6","Regular","10.00","1,000.00","990.00","-1.00","879","0.09",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","07-Feb-2029"
"9IIFL28A","NT","Regular","9.00","1,000.00","1,015.00","0.01","772","0.08",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2028"
"9PCHFL31A","NA","Regular","9.00","1,000.00","998.75","0.46","801","0.08",,"CARE AA / ICRA AA ","23-Jul-2031"
"891NTPC33","N6","Regular","8.91","1,000.00","1,274.50","-0.20","609","0.08",,"CRISIL AAA / ICRA AAA STABLE","16-Dec-2033"
"96IIFL28","N5","Regular","9.60","1,000.00","981.50","-0.05","725","0.07",,"CRISIL AA Stable / BWR AA+  Negative","03-Nov-2028"
"876HUDCO28","ND","Regular","-","-","1,153.00","-1.20","600","0.07",,,"25-Oct-2028"
"865IFL28","NZ","Regular","8.65","1,000.00","969.60","0.98","690","0.07",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2028"
"10IIFL28A","NE","Regular","10.00","1,000.00","1,000.00","-1.40","651","0.07",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"930APMD35","N0",,"-","-","1,01,804.99","0.07","6","0.06",,,"-"
"892NHPC33","N6","Regular","8.92","1,000.00","1,247.00","0.15","488","0.06",,"CARE AAA / ICRA AAA / IND AAA (IND) ","02-Nov-2033"
"105IIFL29","N7","Regular","10.50","1,000.00","998.00","0.40","530","0.05",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","07-Feb-2029"
"97MOFSL34","N7","Regular","9.70","1,000.00","1,080.00","-0.46","470","0.05",,"CRISIL AA Stable / FITCH AA Stable","09-May-2034"
"930APMD32","N0",,"-","-","1,01,179.23","-2.14","5","0.05",,,"-"
"840CIFCL28","N4","Regular","8.40","1,000.00","1,016.00","1.09","500","0.05",,"ICRA AA+","04-May-2028"
"764IRFC31","NO","Regular","7.64","1,000.00","1,150.00","-0.48","402","0.05",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","22-Mar-2031"
"769NHAI31","NE","Regular","7.69","1,000.00","1,155.00","-0.43","386","0.04",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","09-Mar-2031"
"915AEL28","NC","Regular","0.09","1,000.00","998.99","0.07","418","0.04",,"Care AA- (Stable) and ICRA AA- (Stable)","17-Jul-2028"
"930APMD31","N0",,"-","-","1,01,008.33","0.07","4","0.04",,,"-"
"10NIDO26","N6","Regular","10.00","1,000.00","991.60","0.01","394","0.04",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"1003ISFL28","N4","Regular","10.03","1,000.00","1,005.00","-","360","0.04",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2028"
"901HUDCO34","NE","Regular","-","-","1,289.00","0.50","257","0.03",,,"13-Jan-2034"
"930APMD29","N0",,"-","-","1,00,678.13","0.07","3","0.03",,,"-"
"930APMD27","N0",,"-","-","1,00,174.00","-","3","0.03",,,"-"
"CAGL26","NA","Regular","-","1,000.00","1,183.00","2.51","220","0.03",,"AA-/Stable","07-Jun-2026"
"M&MFIN","N3","Regular","-","-","2,190.50","0.75","100","0.02",,,"06-Jun-2026"
"903SFL28","YI","Regular","9.03","1,000.00","1,026.00","-0.87","200","0.02",,"CRISIL AA+ STABLE /  IND AA+ STABLE","12-Jul-2028"
"1015UCL27","NF","Regular","10.15","1,000.00","988.00","-","202","0.02",,"IND A+/ Stable","24-Apr-2027"
"1025NFL25","N5","Regular","10.25","1,000.00","1,002.47","0.42","199","0.02",,"CRISIL A Stable","18-Oct-2025"
"865IIFL28","NS","Regular","8.65","1,000.00","965.20","-0.49","205","0.02",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2028"
"12VCCL29B","N0",,"-","-","97,019.86","-0.49","2","0.02",,,"-"
"732IRFC25","NI","Regular","7.32","1,000.00","1,065.50","0.40","182","0.02",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2025"
"99AEL29","N7","Regular","9.90","1,000.00","1,115.00","-","167","0.02",,"CARE A+","12-Sep-2029"
"885AEL28","NB","Regular","0.09","1,000.00","999.00","-0.25","186","0.02",,"Care AA- (Stable) and ICRA AA- (Stable)","17-Jul-2028"
"1025SCL34B","N1","Regular","10.25","1,000.00","995.00","1.53","182","0.02",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2034"
"875NHAI29","N6","Regular","8.75","1,000.00","1,155.00","-0.17","150","0.02",,"CRISIL AAA STABLE / CARE AAA / BWR AAA STABLE ","05-Feb-2029"
"1050UCL28","NH","Regular","10.50","1,000.00","1,010.00","-","170","0.02",,"IND A+/ Stable","24-Oct-2028"
"1050UCL25","N7","Regular","10.50","1,000.00","1,003.00","0.30","164","0.02",,"ACUITE A+ / CRISIL A-","26-Sep-2025"
"842IIFL26","NL","Regular","8.42","1,000.00","985.00","-0.01","163","0.02",,"CRISIL AA Stable/ BWR AA+ Negative","14-Oct-2026"
"79IGT28","NF","Regular","7.90","1,000.00","1,005.00","-","150","0.02",,"IND AAA Stable / CRISIL AAA Stable","06-May-2028"
"885SCL26","N9",,"-","-","1,042.00","0.19","143","0.01",,,"-"
"729IRFC26","NN","Regular","7.29","1,000.00","1,063.90","0.18","140","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","22-Mar-2026"
"10NFL25","N9","Regular","10.00","1,000.00","1,000.00","0.07","139","0.01",,"CRISIL A/Stable","13-Sep-2025"
"895AEL27","N9","Regular","0.09","1,000.00","1,003.39","-0.06","138","0.01",,"Care AA- (Stable) and ICRA AA- (Stable)","17-Jul-2027"
"891IIFCL34","N4","Regular","-","-","1,271.00","-","104","0.01",,,"22-Jan-2034"
"965SCL26Y","N1","Regular","9.65","1,000.00","1,022.55","-1.20","120","0.01",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2026"
"888IRFC29","NE","Regular","8.88","1,000.00","1,131.60","-1.39","105","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","26-Mar-2029"
"879NHPC28","N5","Regular","8.79","1,000.00","1,127.00","-0.44","105","0.01",,"CARE AAA / ICRA AAA / IND AAA (IND) ","02-Nov-2028"
"76NHAI31","NA","Regular","7.60","1,000.00","1,116.60","0.01","102","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2031"
"871REC28","N9","Regular","8.71","1,000.00","1,135.23","-0.24","100","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","24-Sep-2028"
"943ECL28","NJ","Regular","9.43","1,000.00","981.00","-0.91","115","0.01",,"CRISIL AA STABLE / ICRA AA STABLE","06-Aug-2028"
"704REC28","N4","Regular","7.04","1,000.00","1,078.20","-","100","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","25-Mar-2028"
"970CAGL28","ND","Regular","9.70","1,000.00","1,020.00","-","100","0.01",,"AA-/Stable","07-Sep-2028"
"1050NFL26","N7","Regular","10.50","1,000.00","1,005.00","0.49","100","0.01",,"CRISIL A Stable","18-Jul-2026"
"1025UCL27A","NG","Regular","10.25","1,000.00","981.12","-1.89","100","0.01",,"IND A+/ Stable","24-Oct-2027"
"925SCL25B","Y3",,"-","-","990.00","-0.50","99","0.01",,,"-"
"985ECL28","NK","Regular","9.85","1,000.00","978.85","-","100","0.01",,"CRISIL AA STABLE / ICRA AA STABLE","06-Aug-2028"
"902SCL28","N1","Regular","9.02","1,000.00","960.00","-","99","0.01",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2028"
"753NTPC30E","NC","Regular","7.53","1,000.00","1,135.00","-0.48","79","0.01",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2030"
"84TCHF28","NA","Regular","8.40","1,000.00","1,045.00","-0.19","81","0.01",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"901NHB34","N6","Regular","9.01","5,000.00","6,440.00","-0.26","13","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","13-Jan-2034"
"10IIFL28","N4","Regular","10.00","1,000.00","985.00","-0.54","81","0.01",,"CRISIL AA Stable / BWR AA+  Negative","03-Nov-2028"
"888ERFL28","N5","Regular","8.88","1,000.00","948.00","-0.19","67","0.01",,"CRISIL AA STABLE / ICRA AA STABLE","22-Mar-2028"
"865TCAPS27","N8",,"-","-","1,098.00","0.86","56","0.01",,,"-"
"875PCHFL26","N8","Regular","8.75","1,000.00","999.00","-0.03","55","0.01",,"CARE AA / ICRA AA ","23-Jul-2026"
"965AEL27","N4","Regular","9.65","1,000.00","1,090.00","-","49","0.01",,"CARE A+","12-Sep-2027"
"84CIFCL28","NA","Regular","8.40","1,000.00","1,068.00","-0.26","50","0.01",,"FITCH AA+ Stable/ ICRA AA+ Stable","09-Aug-2028"
"1015ECL29","NR","Regular","10.15","1,000.00","1,001.30","0.03","53","0.01",,"CRISIL AA STABLE / ICRA AA","04-Jan-2029"
"956AEL29","N6","Regular","9.56","1,000.00","1,049.00","0.19","50","0.01",,"CARE A+","12-Sep-2029"
"1040NFL26","NA","Regular","10.40","1,000.00","991.00","-1.29","51","0.01",,"CRISIL A/Stable","13-Jun-2026"
"IIFL210425","NW",,"-","-","1,000.00","0.40","50","0.01",,,"-"
"76IGT26","ND","Regular","7.60","1,000.00","999.00","0.68","50","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2026"
"92SFIL28","ND",,"-","-","987.00","-","50","-",,,"-"
"CAGL25A","N4","Regular","-","1,000.00","1,285.30","-0.44","32","-",,"IRR AA-/Stable","23-Nov-2025"
"921ISFL25","N0",,"-","-","992.00","0.30","40","-",,,"-"
"SCLZC26G","YA",,"-","-","1,150.00","3.14","32","-",,,"-"
"910CAGL25","N7","Regular","9.10","1,000.00","990.10","0.01","22","-",,"AA-/Stable","07-Sep-2025"
"925ERFL28","N6","Regular","9.25","1,000.00","984.00","1.44","21","-",,"CRISIL AA STABLE / ICRA AA STABLE","22-Mar-2028"
"739NHAI26","N8","Regular","7.39","1,000.00","1,030.00","0.64","20","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2026"
"935IIFL28","NZ",,"-","-","987.00","0.20","18","-",,,"-"
"965SCL26F","N1","Regular","9.65","1,000.00","1,052.00","-0.28","16","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2026"
"898LTF29","N7","Regular","8.98","1,000.00","1,060.00","-2.89","15","-",,"FITCH AA+","13-Mar-2029"
"9AEL30","NE","Regular","0.09","1,000.00","1,002.80","-0.09","15","-",,"Care AA- (Stable) and ICRA AA- (Stable)","17-Jul-2030"
"1090NFL26","NB","Regular","10.90","1,000.00","1,023.51","0.35","12","-",,"CRISIL A/Stable","13-Jun-2026"
"IMC1","N1",,"-","-","258.97","-0.01","47","-",,,"-"
"760PFCL35","N3","Regular","-","-","1,198.40","-0.13","9","-",,,"17-Oct-2035"
"AEL120924","N2","Regular","-","1,000.00","1,072.10","6.15","10","-",,"CARE A+","12-Sep-2026"
"IIFLZC26B","NY","Regular","-","1,000.00","1,170.20","0.98","9","-",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2026"
"81ABCL33","N4",,"-","-","1,050.00","-","10","-",,,"-"
"805ABCL28","N5",,"-","-","1,048.00","-","10","-",,,"-"
"1060ECL29","NS","Regular","10.60","1,000.00","1,041.01","-0.48","10","-",,"CRISIL AA STABLE / ICRA AA","04-Jan-2029"
"81TCHF28","N8","Regular","8.10","1,000.00","1,040.00","-3.26","10","-",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"932AEL27","N3","Regular","9.32","1,000.00","1,035.00","-","10","-",,"CARE A+","12-Sep-2027"
"1003IIFL29","NC","Regular","10.03","1,000.00","999.00","-0.99","10","-",,"CRISIL AA-/ACUITE AA ","21-Jun-2029"
"965SCL27","N1","Regular","9.65","1,000.00","990.00","-1.00","10","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2027"
"IIFLZC28C","N6","Regular","-","1,000.00","1,400.00","-0.07","6","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Nov-2028"
"863NHB34","N3","Regular","8.76","5,000.00","6,350.00","-2.29","1","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","13-Jan-2034"
"880IREDA34","N6","Regular","8.80","1,000.00","1,249.00","-","5","-",,"CARE AAA (SO) / BWR AAA (SO) STABLE","13-Mar-2034"
"1039UCL26","NE","Regular","10.39","1,000.00","1,005.00","-","6","-",,"IND A+/ Stable","24-Oct-2026"
"1030SFIL26","NJ",,"-","-","1,160.10","-6.82","5","-",,,"-"
"875IHFL29","ND","Regular","8.75","1,000.00","999.80","0.28","5","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"1075NFL25","N6","Regular","10.75","1,000.00","1,002.59","-","4","-",,"CRISIL A Stable","18-Oct-2025"
"925IHFL25E","N8","Regular","8.30","1,000.00","951.00","-13.78","3","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","09-Sep-2026"
"810IRFC27","N2","Regular","8.10","1,000.00","1,103.05","0.46","2","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","23-Feb-2027"
"915SCL26","NE",,"-","-","1,048.50","-0.14","2","-",,,"-"
"910TCAP28","NA",,"-","-","1,116.02","-0.25","1","-",,,"-"
"IMC1","N3",,"-","-","260.00","-","4","-",,,"-"
"990SCL26B","Y7",,"-","-","1,030.40","7.78","1","-",,,"-"
"872MMFSL26","N1","Regular","-","-","1,015.10","0.70","1","-",,,"06-Jun-2026"
"9IIFL26","NV",,"-","-","996.69","-","1","-",,,"-"
"AEL170725A","NG",,"-","-","1,000.00","-","1,331","-",,,"-"
"97SFL28","YS","Regular","9.70","1,000.00","1,095.00","-","310","-",,"CRISIL AA+ STABLE /  IND AA+ STABLE","02-Nov-2028"
"CAGL25","N8","Regular","-","1,000.00","1,180.00","-","171","-",,"AA-/Stable","07-Sep-2025"
"769IGT28","NH","Regular","7.69","1,000.00","1,000.01","-","160","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2028"
"1119NFL27","ND","Regular","11.19","1,000.00","1,037.83","-","149","-",,"CRISIL A/Stable","13-Mar-2027"
"835SCL23B","YM",,"-","-","960.00","-","135","-",,,"-"
"925SCL27","YR",,"-","-","974.00","-","118","-",,,"-"
"738REC27TF","N2","Regular","7.38","1,000.00","1,082.76","-","100","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","19-Dec-2027"
"96SFIL24A","NB",,"-","-","989.95","-","100","-",,,"-"
"980SCL33D","YG",,"-","-","958.25","-","100","-",,,"-"
"890SFIL23A","NZ",,"-","-","630.00","-","88","-",,,"-"
"91MOFSL27","N2","Regular","9.10","1,000.00","1,026.00","-","75","-",,"CRISIL AA Stable / FITCH AA Stable","09-May-2027"
"1065NFL27","NC","Regular","10.65","1,000.00","1,027.00","-","72","-",,"CRISIL A/Stable","13-Mar-2027"
"957ISFL26","N2","Regular","9.57","1,000.00","970.75","-","64","-",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2026"
"9IIFL28","Y0","Regular","9.00","1,000.00","975.50","-","60","-",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2028"
"960ISFL25","N1","Regular","9.60","1,000.00","1,056.80","-","53","-",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2025"
"0SCL26","YR",,"-","-","1,020.20","-","50","-",,,"-"
"10CAGL27","N5","Regular","10.00","1,000.00","1,020.00","-","48","-",,"IRR AA-/Stable","23-Nov-2027"
"888IHFL25F","NC","Regular","8.40","1,000.00","1,059.80","-","41","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","07-Dec-2025"
"865IHFL27","N1","Regular","8.65","1,000.00","975.00","-","35","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2026"
"925SCL25","N5",,"-","-","965.00","-","30","-",,,"-"
"1003SCL30A","NV",,"-","-","815.20","-","27","-",,,"-"
"IIFLZC28","NG","Regular","-","1,000.00","1,422.79","-","27","-",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"79NHIT40","N2","Regular","7.90","300.00","314.30","-","25","-",,"CARE AAA Stable / IND AAA/Stable","14-Nov-2040"
"1050IIFL29","ND","Regular","10.50","1,000.00","1,000.00","-","20","-",,"CRISIL AA-/ACUITE AA ","21-Jun-2029"
"925SCL26F","N1","Regular","9.25","1,000.00","961.00","-","20","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2026"
"97SFL29","YZ","Regular","9.70","1,000.00","1,089.80","-","20","-",,"CRISIL AA+ STABLE /  IND AA+ STABLE","06-Feb-2029"
"925SCL26W","N1","Regular","9.25","1,000.00","968.00","-","20","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2026"
"78ABCL33","N1",,"-","-","1,020.00","-","20","-",,,"-"
"948SCL26A","NN",,"-","-","675.00","-","20","-",,,"-"
"797IGT31","NL","Regular","7.97","1,000.00","1,011.95","-","18","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2031"
"935LTF29","N5","Regular","9.35","1,000.00","1,073.50","-","15","-",,"FITCH AA+","13-Mar-2029"
"IIFLZC28B","Y1","Regular","-","1,000.00","1,118.20","-","15","-",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2028"
"935TSIIC28","N0",,"-","-","1,01,943.81","-","13","-",,,"-"
"711NTPC25A","N8","Regular","7.11","1,000.00","1,130.00","-","10","-",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2025"
"971SCL29B","N1","Regular","9.71","1,000.00","950.01","-","10","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2029"
"IIFLZC28A","NU","Regular","-","1,000.00","1,185.00","-","10","-",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2028"
"1015SCL29B","N1","Regular","10.15","1,000.00","1,025.26","-","10","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2029"
"SCLZC25F","Y5",,"-","-","1,123.50","-","6","-",,,"-"
"975SCL28","NT",,"-","-","955.45","-","5","-",,,"-"
"965SCL25A","NF",,"-","-","1,057.00","-","5","-",,,"-"
"957NIDO26","N5","Regular","9.57","1,000.00","999.00","-","5","-",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"111ESFB31","N0",,"-","-","99,200.00","-","2","-",,,"-"
"CAGL28","NE","Regular","-","1,000.00","1,197.20","-","2","-",,"AA-/Stable","07-Sep-2028"
"965SCL25C","N0",,"-","-","570.40","-","1","-",,,"-"
"820IIFL27","N9","Regular","8.20","1,000.00","984.00","-","1","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2027"
"867NHPC33","N3","Regular","8.67","1,000.00","1,232.00","-","1","-",,"CARE AAA / ICRA AAA / IND AAA (IND) ","02-Nov-2033"
"830CIFC26","N2","Regular","8.30","1,000.00","1,005.25","-1.21","-","-",,"ICRA AA+","04-Jun-2026"
"1050ISFL28","N5","Regular","10.50","1,000.00","1,024.39","-","-","-",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2028"
"105UCL2026","NB","Regular","10.50","1,000.00","995.00","-0.05","-","-",,"FITCH A/Stable","27-May-2026"
"875IIFL26A","NQ","Regular","8.75","1,000.00","1,025.20","-","-","-",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2026"
"971SCL28A","NT",,"-","-","750.40","-","-","-",,,"-"
"737NTPC35C","NA","Regular","7.37","1,000.00","1,201.00","-","-","-",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2035"
"1035UCL26","NA","Regular","10.35","1,000.00","660.00","-","-","-",,"FITCH A/Stable","27-Feb-2026"
"920IIFLS26","N8","Regular","9.20","1,000.00","990.00","-","-","-",,"CRISIL AA-/ACUITE AA ","21-Jun-2026"
"965SCL25F","NZ",,"-","-","890.00","-","-","-",,,"-"
"CIFCZC26","NF","Regular","-","1,000.00","1,147.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","07-Dec-2026"
"925IHFL31","N1","Regular","9.25","1,000.00","980.00","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2031"
"948SCL27","YV",,"-","-","953.33","-","-","-",,,"-"
"1025SFIL26","NT",,"-","-","439.90","-","-","-",,,"-"
"935TSI32","N0",,"-","-","1,02,789.00","-","-","-",,,"-"
"935TSI34","N0",,"-","-","1,03,939.00","-","-","-",,,"-"
"11UCL26","NC","Regular","11.00","1,000.00","1,017.00","-","-","-",,"FITCH A/Stable","27-May-2026"
"IHF261224","N1","Regular","-","1,000.00","955.50","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2027"
"10UCL26","ND","Regular","10.00","1,000.00","999.00","-","-","-",,"IND A+/ Stable","24-Oct-2026"
"925SCL25G","NY",,"-","-","-","-","-","-",,,"-"
"687REC30","N0",,"-","-","-","-","-","-",,,"-"
"1025SCL35","N1","Regular","10.20","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2035"
"971SCL30A","N1","Regular","9.71","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2030"
"815ANN29","N0",,"-","-","-","-","-","-",,,"-"
"910HFL35","N0",,"-","-","-","-","-","-",,,"-"
"673HPCL30","N0",,"-","-","-","-","-","-",,,"-"
"759NH27","NE",,"-","-","-","-","-","-",,,"-"
"727SHFL27","N0",,"-","-","-","-","-","-",,,"-"
"810ABHF28","N0",,"-","-","-","-","-","-",,,"-"
"CAGL27","NC","Regular","-","1,000.00","1,058.00","-","-","-",,"AA-/Stable","07-Nov-2027"
"769TFSIL28","N0",,"-","-","-","-","-","-",,,"-"
"975SCL35","N0",,"-","-","-","-","-","-",,,"-"
"738CIFL27","N0",,"-","-","-","-","-","-",,,"-"
"925SCL26","NR",,"-","-","835.05","-","-","-",,,"-"
"118VCCL27","N0",,"-","-","-","-","-","-",,,"-"
"CIF29","NO","Regular","-","1,000.00","-","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","31-Jan-2029"
"940SCL28","N1","Regular","9.40","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2028"
"925SCL26Z","N1","Regular","9.25","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2026"
"116VCCL26A","N0",,"-","-","-","-","-","-",,,"-"
"880IIFL26","N0",,"-","-","-","-","-","-",,,"-"
"833ABCL27","NL",,"-","-","-","-","-","-",,,"-"
"850TIAP28A","N0",,"-","-","-","-","-","-",,,"-"
"776TIL34","N1",,"-","-","-","-","-","-",,,"-"
"995ISF35","N0",,"-","-","-","-","-","-",,,"-"
"852MFL28","N0",,"-","-","-","-","-","-",,,"-"
"888SCL25B","Y2",,"-","-","-","-","-","-",,,"-"
"930PEL29","N0",,"-","-","-","-","-","-",,,"-"
"770SHFL27","N0",,"-","-","-","-","-","-",,,"-"
"815ANN31","N0",,"-","-","-","-","-","-",,,"-"
"1003SCL31P","N1","Regular","10.03","1,000.00","980.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2031"
"842HFL27","N0",,"-","-","-","-","-","-",,,"-"
"AAFS29A","N0",,"-","-","-","-","-","-",,,"-"
"930APMD33","N0",,"-","-","1,03,500.38","-","-","-",,,"-"
"940SCL26B","Y6",,"-","-","-","-","-","-",,,"-"
"10IIFL26","N0",,"-","-","-","-","-","-",,,"-"
"805TFSIL28","N0",,"-","-","-","-","-","-",,,"-"
"980SCL34B","N1","Regular","9.80","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2034"
"816ABCL29","NH",,"-","-","-","-","-","-",,,"-"
"754GIL29","N0",,"-","-","-","-","-","-",,,"-"
"686NHPCL37","N0",,"-","-","-","-","-","-",,,"-"
"686NHPCL35","N0",,"-","-","-","-","-","-",,,"-"
"830SMF29","N6",,"-","-","-","-","-","-",,,"-"
