"SYMBOL 
","SERIES 
","ISIN 
","FACE VALUE 
","OPEN 
","HIGH 
","LOW 
","LTP 
","PREV.CLOSE 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)"
"695GS2061","GS","IN0020210202","100.00","-","-","-","104.00","99.21","4.83",0,"-"
"675GS2029","GS","IN0020240183","100.00","107.00","107.00","107.00","107.00","103.75","3.13",1,"-"
"725HR32","SG","IN1620210170","100.00","97.40","97.40","97.40","97.40","95.00","2.53",100,"-"
"824GS2033","GS","IN0020140052","100.00","111.00","111.00","111.00","111.00","109.12","1.72",600,"0.01"
"726GS2033","GS","IN0020220151","100.00","109.05","109.05","109.05","109.05","108.00","0.97",25000,"0.27"
"824GS2027","GS","IN0020060078","100.00","107.00","107.40","106.99","107.27","106.50","0.72",36190,"0.39"
"710GS2029","GS","IN0020220011","100.00","105.25","105.80","105.25","105.80","105.21","0.56",2000,"0.02"
"591GS2028","GS","IN0020250034","100.00","99.60","99.60","99.60","99.60","99.15","0.45",100,"-"
"182D070825","TB","IN002024Y431","100.00","99.65","99.65","99.65","99.65","99.27","0.38",100,"-"
"897GS2030","GS","IN0020110055","100.00","114.50","114.50","114.50","114.50","114.15","0.31",2,"-"
"563GS2026","GS","IN0020210012","100.00","101.69","101.69","101.40","101.40","101.10","0.30",5000,"0.05"
"364D190326","TB","IN002024Z495","100.00","95.73","95.74","95.73","95.74","95.46","0.29",200,"-"
"699GS2051","GS","IN0020210194","100.00","101.00","101.40","101.00","101.40","101.15","0.25",1000,"0.01"
"716GS2050","GS","IN0020200054","100.00","104.00","104.00","103.75","103.75","103.50","0.24",623,"0.01"
"746GS2073","GS","IN0020230127","100.00","107.75","107.75","107.23","107.23","107.00","0.21",164,"-"
"667GS2035","GS","IN0020210152","100.00","101.79","102.00","101.79","102.00","101.79","0.21",38,"-"
"182D310725","TB","IN002024Y423","100.00","99.80","99.80","99.80","99.80","99.60","0.20",900,"0.01"
"779TN32","SG","IN3120220170","100.00","99.60","99.60","99.60","99.60","99.55","0.05",100,"-"
"364D150825","TB","IN002024Z206","100.00","99.59","99.59","99.59","99.59","99.55","0.04",400,"-"
"690GS2065","GS","IN0020250018","100.00","99.61","99.65","99.61","99.65","99.61","0.04",200,"-"
"815GS2026","GS","IN0020140060","100.00","-","-","-","107.09","107.06","0.03",0,"-"
"733GS2026","GS","IN0020230119","100.00","103.40","103.42","103.40","103.42","103.40","0.02",500,"0.01"
"182D101025","TB","IN002025Y024","100.00","-","-","-","98.53","98.52","0.01",0,"-"
"91D280825","TB","IN002025X091","100.00","99.10","99.11","99.10","99.11","99.10","0.01",8200,"0.08"
"182D140825","TB","IN002024Y449","100.00","-","-","-","99.34","99.33","0.01",0,"-"
"709GS2054","GS","IN0020240118","100.00","104.10","104.70","104.10","104.11","104.10","0.01",46755,"0.49"
"702GS2031","GS","IN0020240076","100.00","104.50","104.51","104.50","104.51","104.50","0.01",160,"-"
"364D260326","TB","IN002024Z503","100.00","-","-","-","96.15","96.15","-",0,"-"
"364D031025","TB","IN002024Z255","100.00","-","-","-","98.64","98.64","-",0,"-"
"677MH38","SG","IN2220250061","100.00","-","-","-","-","100.00","-",0,"-"
"GS100825C","GS","IN000825C017","100.00","-","-","-","-","80.40","-",0,"-"
"515GS2025","GS","IN0020200278","100.00","-","-","-","96.41","96.41","-",0,"-"
"754RJ33","SG","IN2920230223","100.00","-","-","-","95.40","95.40","-",0,"-"
"679GS2034","GS","IN0020240126","100.00","104.00","104.00","104.00","104.00","104.00","-",5400,"0.06"
"628GS2032","GS","IN0020250059","100.00","-","-","-","99.20","99.20","-",0,"-"
"91D091025","TB","IN002025X158","100.00","-","-","-","98.41","98.41","-",0,"-"
"364D250626","TB","IN002025Z138","100.00","-","-","-","-","94.75","-",0,"-"
"182D161025","TB","IN002025Y032","100.00","-","-","-","98.17","98.17","-",0,"-"
"762TN53","SG","IN3120230252","100.00","-","-","-","100.00","100.00","-",0,"-"
"813GS2045","GS","IN0020150044","100.00","-","-","-","115.49","115.49","-",0,"-"
"633GS2035","GS","IN0020250026","100.00","101.85","101.85","101.85","101.85","100.60","-",1700,"-"
"664GS2035","GS","IN0020210020","100.00","-","-","-","100.35","100.35","-",0,"-"
"668GS2040","GS","IN0020250042","100.00","99.75","101.00","99.75","101.00","100.00","-",1100,"-"
"757GS2033","GS","IN0020190065","100.00","108.50","108.50","108.50","108.50","108.00","-",446,"-"
"749TN34","SG","IN3120240038","100.00","-","-","-","-","100.00","-",0,"-"
"745AP34","SG","IN1020230414","100.00","-","-","-","95.00","95.00","-",0,"-"
"364D280825","TB","IN002024Z222","100.00","-","-","-","99.00","99.00","-",0,"-"
"597GS2025","GS","IN0020030071","100.00","-","-","-","-","93.67","-",0,"-"
"GS231225C","GS","IN001225C068","100.00","-","-","-","-","78.23","-",0,"-"
"GS150925C","GS","IN000925C023","100.00","-","-","-","-","79.83","-",0,"-"
"772HR33","SG","IN1620230319","100.00","-","-","-","104.00","104.00","-",0,"-"
"579GS2030","GS","IN0020200070","100.00","98.28","98.28","98.28","98.28","99.50","-",1,"-"
"826GS2027","GS","IN0020070036","100.00","108.91","108.91","108.91","108.91","107.25","-",1000,"-"
"774KA34","SG","IN1920230167","100.00","-","-","-","103.15","103.15","-",0,"-"
"182D061125","TB","IN002025Y065","100.00","-","-","-","98.35","98.35","-",0,"-"
"GS220840C","GS","IN000840C016","100.00","-","-","-","-","26.39","-",0,"-"
"364D261225","TB","IN002024Z370","100.00","-","-","-","97.24","97.24","-",0,"-"
"667GS2050","GS","IN0020200252","100.00","98.70","98.70","98.70","98.70","98.00","-",32100,"-"
"694AP38","SG","IN1020210069","100.00","-","-","-","-","100.00","-",0,"-"
"GS220250C","GS","IN000250C018","100.00","-","-","-","-","12.73","-",0,"-"
"182D080126","TB","IN002025Y156","100.00","97.30","97.30","97.30","97.30","97.30","-",100,"-"
"764GA38","SG","IN1420220122","100.00","-","-","-","95.00","95.00","-",0,"-"
"577GS2030","GS","IN0020200153","100.00","-","-","-","100.95","100.95","-",0,"-"
