"SYMBOL 
","SERIES 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE 
 (₹ Crores)"," 
","CREDIT RATING 
","MATURITY DATE 
"
"940SCL28","N1","Regular","9.40","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2028"
"925SCL26Z","N1","Regular","9.25","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2026"
"116VCCL26A","N0",,"-","-","-","-","-","-",,,"-"
"880IIFL26","N0",,"-","-","-","-","-","-",,,"-"
"833ABCL27","NL",,"-","-","-","-","-","-",,,"-"
"850TIAP28A","N0",,"-","-","-","-","-","-",,,"-"
"776TIL34","N1",,"-","-","-","-","-","-",,,"-"
"995ISF35","N0",,"-","-","-","-","-","-",,,"-"
"852MFL28","N0",,"-","-","-","-","-","-",,,"-"
"888SCL25B","Y2",,"-","-","-","-","-","-",,,"-"
"930PEL29","N0",,"-","-","-","-","-","-",,,"-"
"770SHFL27","N0",,"-","-","-","-","-","-",,,"-"
"815ANN31","N0",,"-","-","-","-","-","-",,,"-"
"1075SCL35","N1","Regular","10.70","1,000.00","980.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2035"
"842HFL27","N0",,"-","-","-","-","-","-",,,"-"
"AAFS29A","N0",,"-","-","-","-","-","-",,,"-"
"111ESFB31","N0",,"-","-","-","-","-","-",,,"-"
"940SCL26B","Y6",,"-","-","-","-","-","-",,,"-"
"10IIFL26","N0",,"-","-","-","-","-","-",,,"-"
"805TFSIL28","N0",,"-","-","-","-","-","-",,,"-"
"980SCL34B","N1","Regular","9.80","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2034"
"816ABCL29","NH",,"-","-","-","-","-","-",,,"-"
"754GIL29","N0",,"-","-","-","-","-","-",,,"-"
"686NHPCL37","N0",,"-","-","-","-","-","-",,,"-"
"686NHPCL35","N0",,"-","-","-","-","-","-",,,"-"
"830SMF29","N6",,"-","-","-","-","-","-",,,"-"
"925IHFL25E","N8","Regular","8.30","1,000.00","1,103.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","09-Sep-2026"
"843IHFL29","NC","Regular","8.43","1,000.00","951.11","-","-","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"920PEL28","N2","Regular","9.20","1,000.00","1,041.10","-","-","-",,"AA/Stable, AA/Stable","03-Nov-2028"
"925CAGL26","N9","Regular","9.25","1,000.00","998.00","-","-","-",,"AA-/Stable","07-Jun-2026"
"NIDOZC26","N7","Regular","-","1,000.00","2,300.00","-","-","-",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"774IREDA31","N7","Regular","-","-","1,134.75","-","-","-",,,"21-Jan-2031"
"1050UCL25","N7","Regular","10.50","1,000.00","997.00","-","-","-",,"ACUITE A+ / CRISIL A-","26-Sep-2025"
"729IRFC26","NN","Regular","7.29","1,000.00","1,068.69","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","22-Mar-2026"
"IIFLZC28A","NU","Regular","-","1,000.00","1,185.00","-","-","-",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2028"
"889SCL26","NS",,"-","-","1,046.50","-","-","-",,,"-"
"990SCL26","N7",,"-","-","725.00","-","-","-",,,"-"
"0SCL26","YR",,"-","-","1,044.75","-","-","-",,,"-"
"AEL120924B","N8","Regular","-","1,000.00","1,011.01","-","-","-",,"CARE A+","12-Sep-2029"
"CIFCZC28","NH","Regular","-","1,000.00","1,124.50","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","07-Dec-2028"
"728NTPC30B","N9","Regular","7.28","1,000.00","1,096.00","-","-","-",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2030"
"IIFLZC28B","Y1","Regular","-","1,000.00","1,131.60","-","-","-",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2028"
"860CIFCL28","NG","Regular","8.60","1,000.00","1,050.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","07-Dec-2028"
"980SCL33C","ND",,"-","-","900.00","-","-","-",,,"-"
"971SCL29T","N1","Regular","9.71","1,000.00","970.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2029"
"1025UCL26A","N1","Regular","10.25","1,000.00","973.20","-","-","-",,"IND A+/ Stable","24-Oct-2026"
"CAGL26","NA","Regular","-","1,000.00","1,165.29","0.98","-","-",,"AA-/Stable","07-Jun-2026"
"975SCL29","N0",,"-","-","92,000.00","-","-","-",,,"-"
"ABCL26","N3",,"-","-","1,150.00","-","-","-",,,"-"
"119VCCL26","N0",,"-","-","95,500.00","-","-","-",,,"-"
"990SCL27","YT",,"-","-","975.20","-","-","-",,,"-"
"1040UCL27B","N1","Regular","10.40","1,000.00","990.00","-","-","-",,"IND A+/ Stable","24-Apr-2027"
"935TSI31","N0",,"-","-","1,02,696.00","-","-","-",,,"-"
"12VCCL29B","N0",,"-","-","98,000.00","-","-","-",,,"-"
"1015SCL29T","N1","Regular","10.15","1,000.00","980.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2029"
"875IHFL29","ND","Regular","8.75","1,000.00","975.00","-","-","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"730NIIF28","N0",,"-","-","-","-","-","-",,,"-"
"1075SCL33B","NW",,"-","-","-","-","-","-",,,"-"
"708JCL28","N0",,"-","-","-","-","-","-",,,"-"
"759LTFL28","N0",,"-","-","-","-","-","-",,,"-"
"803ABCL33","NF",,"-","-","-","-","-","-",,,"-"
"8016ABCL29","NB",,"-","-","-","-","-","-",,,"-"
"805ABCL28","N5",,"-","-","1,075.00","0.23","-","-",,,"-"
"715NBFID35","N0",,"-","-","-","-","-","-",,,"-"
"665IRFC30","N0",,"-","-","-","-","-","-",,,"-"
"843SCL27","YS",,"-","-","-","-","-","-",,,"-"
"925SCL29","YZ",,"-","-","-","-","-","-",,,"-"
"801TCH28","N7","Regular","8.01","1,000.00","-","-","-","-",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"815ANN32","N0",,"-","-","-","-","-","-",,,"-"
"7IREDAL30","N0",,"-","-","-","-","-","-",,,"-"
"81ABCL29","NI",,"-","-","-","-","-","-",,,"-"
"1050SCL30","NU",,"-","-","-","-","-","-",,,"-"
"805TCHFL29","NG",,"-","-","-","-","-","-",,,"-"
"768LIC34","N4",,"-","-","-","-","-","-",,,"-"
"708TML28","N0",,"-","-","-","-","-","-",,,"-"
"940SCL27A","N1","Regular","9.40","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2027"
"832HHFL27A","N0",,"-","-","-","-","-","-",,,"-"
"852LTF27","NG","Regular","8.52","1,000.00","-","-","-","-",,"FITCH AA+","15-Apr-2027"
"1015SCL30","N1","Regular","10.10","1,000.00","916.13","2.85","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2030"
"85PCHFL26","N7","Regular","8.50","1,000.00","-","-","-","-",,"CARE AA / ICRA AA ","23-Jul-2026"
"702RECL40","N0",,"-","-","-","-","-","-",,,"-"
"680NHB32","N0",,"-","-","-","-","-","-",,,"-"
"661PFCL28","N0",,"-","-","-","-","-","-",,,"-"
"925IIFL32","N0",,"-","-","98,304.78","-","-","-",,,"-"
"803ABCL35","N0",,"-","-","-","-","-","-",,,"-"
"AAFS34A","N5",,"-","-","-","-","-","-",,,"-"
"770RECL26","NR",,"-","-","-","-","-","-",,,"-"
"902SCL27C","N1","Regular","9.02","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2027"
"895AEL27","N9","Regular","0.09","1,000.00","-","-","-","-",,"Care AA- (Stable) and ICRA AA- (Stable)","17-Jul-2027"
"858CIF27","NU",,"-","-","-","-","-","-",,,"-"
"774IREDA35","N0",,"-","-","-","-","-","-",,,"-"
"885AEL28","NB","Regular","0.09","1,000.00","-","-","-","-",,"Care AA- (Stable) and ICRA AA- (Stable)","17-Jul-2028"
"7123TCHF27","N0",,"-","-","-","-","-","-",,,"-"
"1050NFL26","N7","Regular","10.50","1,000.00","1,008.00","-","-","-",,"CRISIL A Stable","18-Jul-2026"
"10ISFL26","N3","Regular","10.00","1,000.00","1,048.00","-","-","-",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2026"
"855IREDA29","N2","Regular","8.55","1,000.00","1,120.00","-","-","-",,"CARE AAA (SO) / BWR AAA (SO) STABLE","13-Mar-2029"
"CAGL25A","N4","Regular","-","1,000.00","1,288.00","-","-","-",,"IRR AA-/Stable","23-Nov-2025"
"854NHPC28","N2","Regular","8.54","1,000.00","1,101.10","-","-","-",,"CARE AAA / ICRA AAA / IND AAA (IND) ","02-Nov-2028"
"797IGT31","NL","Regular","7.97","1,000.00","1,010.00","-","-","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2031"
"84TCHF28","NA","Regular","8.40","1,000.00","1,049.00","-","-","-",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"IIFLHFZC27","NB","Regular","-","1,000.00","1,273.30","-","-","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2027"
"861REC34","ND","Regular","8.61","1,000.00","1,800.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA ","24-Mar-2034"
"990SCL26A","NL",,"-","-","698.00","-","-","-",,,"-"
"CAGL25","N8","Regular","-","1,000.00","1,150.10","-","-","-",,"AA-/Stable","07-Sep-2025"
"890NHB34","N7","Regular","8.90","5,000.00","6,232.80","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","24-Mar-2034"
"711NTPC25A","N8","Regular","7.11","1,000.00","1,130.20","-","-","-",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2025"
"868NHB29","N3","Regular","8.68","5,000.00","5,630.01","0.01","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","24-Mar-2029"
"966SFIL25A","NI",,"-","-","1,019.00","-","-","-",,,"-"
"935TSIIC33","N0",,"-","-","1,02,925.18","-","-","-",,,"-"
"837REC33","N7","Regular","8.37","1,000.00","34,000.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","24-Sep-2033"
"1075SCL34T","N1","Regular","10.75","1,000.00","1,000.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2034"
"735IRFC31","NM","Regular","7.35","1,000.00","1,159.80","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","22-Mar-2031"
"965SCL27","N1","Regular","9.65","1,000.00","1,000.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2027"
"1065NFL27","NC","Regular","10.65","1,000.00","1,004.00","-","-","-",,"CRISIL A/Stable","13-Mar-2027"
"1030SFIL28","NM",,"-","-","600.00","-","-","-",,,"-"
"SCLZC26G","YA",,"-","-","1,124.90","-","-","-",,,"-"
"78ABCL33","N1",,"-","-","1,032.00","-","-","-",,,"-"
"8ABCL26","N2",,"-","-","1,050.00","-","-","-",,,"-"
"ABCL28","N6",,"-","-","1,110.00","-","-","-",,,"-"
"660RECL27","N0",,"-","-","-","-","-","-",,,"-"
"902MFL27","NO",,"-","-","-","-","-","-",,,"-"
"SCLZC25C","NI",,"-","-","-","-","-","-",,,"-"
"686NHPCL31","N0",,"-","-","-","-","-","-",,,"-"
"744PFCL34","NB",,"-","-","-","-","-","-",,,"-"
"778AIFL30","N0",,"-","-","-","-","-","-",,,"-"
"ABHF26625","N0",,"-","-","-","-","-","-",,,"-"
"791ABCL34","N7",,"-","-","-","-","-","-",,,"-"
"1025SCL34U","N1","Regular","10.25","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2034"
"LTFL28","N0",,"-","-","-","-","-","-",,,"-"
"975SCL35","N0",,"-","-","-","-","-","-",,,"-"
"753RECL34","NP",,"-","-","-","-","-","-",,,"-"
"915AEL28","NC","Regular","0.09","1,000.00","-","-","-","-",,"Care AA- (Stable) and ICRA AA- (Stable)","17-Jul-2028"
"760GFL30","N0",,"-","-","-","-","-","-",,,"-"
"885LTF27","NE","Regular","8.85","1,000.00","-","-","-","-",,"FITCH AA+","15-Apr-2027"
"71ABHFL27","N0",,"-","-","-","-","-","-",,,"-"
"83TCHF28","N9","Regular","8.30","1,000.00","1,245.45","-","-","-",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"724INBK34","N0",,"-","-","-","-","-","-",,,"-"
"765TML27","N0",,"-","-","-","-","-","-",,,"-"
"647IRFC28","N0",,"-","-","-","-","-","-",,,"-"
"984SFIL26A","NK",,"-","-","500.00","-","-","-",,,"-"
"965SCL28B","YB",,"-","-","-","-","-","-",,,"-"
"857CIFL32","N0",,"-","-","-","-","-","-",,,"-"
"753ICICI34","N0",,"-","-","-","-","-","-",,,"-"
"703NBFID30","N0",,"-","-","-","-","-","-",,,"-"
"858HUDCO29","NC","Regular","-","-","1,367.30","-","-","-",,,"13-Jan-2029"
"1025UCL27A","NG","Regular","10.25","1,000.00","-","-","-","-",,"IND A+/ Stable","24-Oct-2027"
"659PFCL30","N0",,"-","-","-","-","-","-",,,"-"
"712LTFL27","N0",,"-","-","-","-","-","-",,,"-"
"IMC1","N3",,"-","-","252.02","-","-","-",,,"-"
"735NABAR31","N1","Regular","-","-","1,115.00","-","-","-",,,"23-Mar-2031"
"957ISFL26","N2","Regular","9.57","1,000.00","999.00","-","-","-",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2026"
"TCHF30","NB","Regular","8.55","1,000.00","1,069.60","-","-","-",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2030"
"829PFL29","N6","Regular","10.27","1,000.00","1,053.35","1.12","-","-",,"BWR AA STABLE / ACUITE AA STABLE","06-May-2029"
"957ICCL25","YW","Regular","9.30","1,000.00","1,045.00","-","-","-",,"CRISIL AA+ STABLE /  IND AA+ STABLE","06-Feb-2029"
"739NHAI31A","ND","Regular","7.39","1,000.00","1,150.50","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","09-Mar-2031"
"1075SCL33A","N2",,"-","-","900.00","-","-","-",,,"-"
"835SCL23B","YM",,"-","-","976.37","-","-","-",,,"-"
"965SCL25C","N0",,"-","-","612.80","-","-","-",,,"-"
"965SCL26","YO",,"-","-","1,008.70","-","-","-",,,"-"
"925SCL27","YR",,"-","-","932.55","-","-","-",,,"-"
"957IIFLS27","NA","Regular","9.57","1,000.00","1,001.00","-","-","-",,"CRISIL AA-/ACUITE AA ","21-Jun-2027"
"948SCL26","N9",,"-","-","840.00","-","-","-",,,"-"
"SCLZC25D","NJ",,"-","-","1,053.00","-","-","-",,,"-"
"AEL120924","N2","Regular","-","1,000.00","1,010.00","-","-","-",,"CARE A+","12-Sep-2026"
"85CIFC27","NL","Regular","8.50","1,000.00","1,001.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","31-Jan-2027"
"875CIFC23B","NJ","Regular","8.45","1,000.00","999.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","31-Jan-2026"
"867NHPC33","N3","Regular","8.67","1,000.00","1,232.00","-","-","-",,"CARE AAA / ICRA AAA / IND AAA (IND) ","02-Nov-2033"
"875SCL23A","YI",,"-","-","955.00","-","-","-",,,"-"
"IIFL210425","NW",,"-","-","996.00","-","-","-",,,"-"
"85LTF26","NM","Regular","8.50","1,000.00","1,061.00","-","-","-",,"FITCH AA+","23-Dec-2026"
"990SCL26B","Y7",,"-","-","956.00","-","-","-",,,"-"
"1180VCCL26","N0",,"-","-","99,570.25","-","-","-",,,"-"
"865SCL26","N8",,"-","-","950.10","-","-","-",,,"-"
"SCLZC26A","NF",,"-","-","2,075.00","-","-","-",,,"-"
"9IHFL27","N1","Regular","9.00","1,000.00","952.65","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2027"
"SCL25924C","N1","Regular","-","1,000.00","820.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2027"
"12VCCL27B","N0",,"-","-","1,00,800.00","-","-","-",,,"-"
"930APMD34","N0",,"-","-","1,03,585.22","-","-","-",,,"-"
"SCL25924D","N1","Regular","-","1,000.00","1,022.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2027"
"IHFL261224","N1","Regular","-","1,000.00","1,022.45","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2026"
"98SFIL26","NU",,"-","-","576.00","-","-","-",,,"-"
"1175PPPL27","N0",,"-","-","1,01,000.00","-","-","-",,,"-"
"730SICC28A","N0",,"-","-","-","-","-","-",,,"-"
"915PFL27","N0",,"-","-","-","-","-","-",,,"-"
"12VCCL29A","N0",,"-","-","98,500.00","-","-","-",,,"-"
"765TML28A","N0",,"-","-","-","-","-","-",,,"-"
"792LIC27","N5",,"-","-","1,02,500.00","-","-","-",,,"-"
"940SCL26A","NK",,"-","-","-","-","-","-",,,"-"
"990CCSP27","N0",,"-","-","1,00,631.62","-","-","-",,,"-"
"875CIFL32","N0",,"-","-","-","-","-","-",,,"-"
"743NIIF30","N0",,"-","-","-","-","-","-",,,"-"
"825TPL27","N6",,"-","-","-","-","-","-",,,"-"
"850HHFL27","N0",,"-","-","-","-","-","-",,,"-"
"759GIL30","N0",,"-","-","-","-","-","-",,,"-"
"686NHPCL33","N0",,"-","-","-","-","-","-",,,"-"
"686NHPCL38","N0",,"-","-","-","-","-","-",,,"-"
"957SFIL28","NW",,"-","-","1,009.20","-","-","-",,,"-"
"787LIC29","N3",,"-","-","-","-","-","-",,,"-"
"875SCFL27","Y9",,"-","-","-","-","-","-",,,"-"
"755TPREL40","N0",,"-","-","-","-","-","-",,,"-"
"79413ABC28","N8",,"-","-","-","-","-","-",,,"-"
"971SCL28B","YD",,"-","-","-","-","-","-",,,"-"
"753PHFL30","N0",,"-","-","-","-","-","-",,,"-"
"18PVL29","N0",,"-","-","-","-","-","-",,,"-"
"635LT28","N0",,"-","-","-","-","-","-",,,"-"
"778ABSL35","N0",,"-","-","-","-","-","-",,,"-"
"724CANF28","N0",,"-","-","-","-","-","-",,,"-"
"730SICC28","N0",,"-","-","-","-","-","-",,,"-"
"738ABCL28","N0",,"-","-","-","-","-","-",,,"-"
"930IIFL35","N0",,"-","-","-","-","-","-",,,"-"
"815ANN30","N0",,"-","-","-","-","-","-",,,"-"
"SCL190325","N1","Regular","-","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","19-Mar-2028"
"1039UCL26","NE","Regular","10.39","1,000.00","1,003.25","-","-","-",,"IND A+/ Stable","24-Oct-2026"
"1025SCL33A","N1",,"-","-","-","-","-","-",,,"-"
"950ISF27","N0",,"-","-","-","-","-","-",,,"-"
"715SHFL30","N0",,"-","-","-","-","-","-",,,"-"
"832HHFL27","N0",,"-","-","-","-","-","-",,,"-"
"945SCL29","N0",,"-","-","-","-","-","-",,,"-"
"SCL25924","N1","Regular","-","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2026"
"1278VCCL25","N0",,"-","-","-","-","-","-",,,"-"
"ABCRESET27","NM",,"-","-","-","-","-","-",,,"-"
"681RL36","N0",,"-","-","-","-","-","-",,,"-"
"925SCL25Z","NE",,"-","-","-","-","-","-",,,"-"
"CIF27","NM","Regular","-","1,000.00","1,010.10","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","31-Jan-2027"
"1025UCL25","N8","Regular","10.25","1,000.00","997.00","-0.12","-","-",,"FITCH A/Stable","27-Aug-2025"
